"";"ID";"PSID_ID";"CAT_05";"CAT_07";"CAT_09";"CAT_11";"CAT_13";"CAT_15";"CAT_17";"TA050042";"TA050043";"TA050595";"TA050631";"TA050127";"TA050769";"TA050712";"TA050715";"TA050716";"TA050678";"TA050785";"TA050809";"TA050793";"TA050777";"TA050825";"TA050817";"TA050798";"TA050394";"TA050371";"TA050091";"TA070042";"TA070043";"TA070570";"TA070602";"TA070127";"TA070740";"TA070683";"TA070686";"TA070687";"TA070649";"TA070756";"TA070777";"TA070764";"TA070748";"TA070793";"TA070785";"TA070769";"TA070368";"TA070344";"TA070091";"TA090043";"TA090044";"TA090612";"TA090655";"TA090136";"TA090799";"TA090739";"TA090742";"TA090743";"TA090705";"TA090815";"TA090836";"TA090823";"TA090807";"TA090852";"TA090844";"TA090828";"TA090385";"TA090361";"TA090100";"TA110044";"TA110045";"TA110699";"TA110743";"TA110137";"TA110915";"TA110829";"TA110832";"TA110833";"TA110793";"TA110931";"TA110952";"TA110939";"TA110923";"TA110968";"TA110960";"TA110944";"TA110462";"TA110351";"TA110101";"TA130043";"TA130044";"TA130719";"TA130763";"TA130136";"TA130948";"TA130852";"TA130855";"TA130856";"TA130813";"TA130964";"TA130982";"TA130972";"TA130956";"TA131001";"TA130993";"TA130977";"TA130482";"TA130350";"TA130100";"TA150043";"TA150044";"TA150731";"TA150776";"TA150128";"TA150970";"TA150869";"TA150872";"TA150873";"TA150826";"TA150986";"TA151007";"TA150994";"TA150978";"TA151023";"TA151015";"TA150999";"TA150491";"TA150352";"TA150092";"TA170058";"TA170059";"TA170790";"TA170416";"TA170183";"TA171827";"TA170909";"TA170912";"TA170913";"TA170866";"TA171869";"TA171885";"TA171893";"TA171861";"TA171877";"TA171840";"TA170389";"TA170176"
"1";1;4037;"NA_05";"NA_07";"IAC_09";"NA_11";"NA_13";"NA_15";"NA_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;97;0;0;1;998;0;0;0;0;0;0;0;0;0;0;0;0;5;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";2;4038;"NA_05";"NA_07";"IAC_09";"IAC_11";"NA_13";"NA_15";"NA_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;5;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0;5;0;2;2;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";3;4039;"NA_05";"NA_07";"IAC_09";"IAC_11";"IAC_13";"IAC_15";"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;5;5;1;0;0;0;0;3;0;0;0;0;0;0;0;0;5;1;2;96;5;5;5;0;0;0;0;7;0;0;0;0;0;0;0;0;5;2;6;96;5;0;6;0;0;0;0;1;0;0;0;0;0;0;0;8;5;2;9;96;5;0;5;0;0;0;0;3;0;0;0;0;0;0;0;8;5;3;2;96;5;0;1;3;5;5;5;0;0;0;0;0;0;0;5;3
"4";4;4041;"NA_05";"NA_07";"NA_09";"IAC_11";"IAC_13";"IAC_15";"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;97;96;0;0;5;0;1;0;0;1;0;0;0;0;0;0;0;0;5;0;2;96;0;0;6;2;1;0;0;1;0;0;0;0;0;0;0;97;5;0;99;98;0;0;1;40;1;0;0;3;0;0;0;0;0;0;0;0;1;0;9;2;5;0;6;4;1;5;5;3;0;0;0;0;0;0;5;0
"5";5;4180;"IAC_05";"IAC_07";"IAC_09";"IAC_11";"NA_13";"NA_15";"NA_17";2;97;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;5;2;1;6;0;0;1;24;0;0;0;0;0;0;0;0;0;0;0;99;5;2;7;97;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;2;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6";6;5032;"IAC_05";"IAC_07";"IAC_09";"IAC_11";"NA_13";"NA_15";"NA_17";1;2;1;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;6;5;0;6;0;0;0;0;0;0;0;0;0;0;0;0;99;5;1;6;96;5;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;6;96;5;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;5;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";7;5033;"NA_05";"NA_07";"NA_09";"NA_11";"NA_13";"IAC_15";"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;96;0;0;3;10;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;96;5;0;1;2;0;0;0;0;0;0;0;0;0;0;5;0
"8";8;6034;"IAC_05";"IAC_07";"IAC_09";"IAC_11";"NA_13";"NA_15";"NA_17";4;97;1;5;7;30;0;0;0;0;0;0;0;0;0;0;0;6;5;0;6;96;1;5;1;15;0;0;0;0;0;0;0;0;0;0;0;99;5;0;6;6;1;5;7;12;0;0;0;0;0;0;0;0;0;0;0;0;5;0;9;2;5;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;5;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"9";9;7039;"NA_05";"IAC_07";"IAC_09";"IAC_11";"IAC_13";"NA_15";"NA_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;5;0;7;96;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;1;96;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;6;96;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";10;7040;"NA_05";"IAC_07";"IAC_09";"IAC_11";"IAC_13";"IAC_15";"IAC_17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;6;96;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;2;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;6;96;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;8;5;2;5;96;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;99;5;2;6;6;5;0;6;0;0;0;0;0;0;0;0;0;0;0;5;2
