TAS,TAS05,TAS07,TAS09,TAS11,TAS13,TAS15,TAS17,ER30001,ER30002,ER33801,ER33802,ER33803,TA050001,TA050042,TA050043,TA050127,TA050371,TA050394,TA050595,TA050631,TA050678,TA050712,TA050715,TA050716,TA050769,TA050777,TA050785,TA050793,TA050798,TA050809,TA050817,TA050825,ER33901,ER33902,ER33903,TA070001,TA070042,TA070043,TA070127,TA070344,TA070368,TA070570,TA070602,TA070649,TA070683,TA070686,TA070687,TA070740,TA070748,TA070756,TA070764,TA070769,TA070777,TA070785,TA070793,ER34001,ER34002,ER34003,TA090001,TA090043,TA090044,TA090136,TA090361,TA090385,TA090612,TA090655,TA090705,TA090739,TA090742,TA090743,TA090799,TA090807,TA090815,TA090823,TA090828,TA090836,TA090844,TA090852,ER34101,ER34102,ER34103,TA110001,TA110044,TA110045,TA110137,TA110351,TA110462,TA110699,TA110743,TA110793,TA110829,TA110832,TA110833,TA110915,TA110923,TA110931,TA110939,TA110944,TA110952,TA110960,TA110968,ER34201,ER34202,ER34203,TA130001,TA130043,TA130044,TA130136,TA130350,TA130482,TA130719,TA130763,TA130813,TA130852,TA130855,TA130856,TA130861,TA130948,TA130956,TA130961,TA130964,TA130969,TA130972,TA130977,TA130982,TA130985,TA130990,TA130993,TA130998,TA131001,ER34301,ER34302,ER34303,TA150001,TA150043,TA150044,TA150128,TA150352,TA150491,TA150731,TA150776,TA150826,TA150869,TA150872,TA150873,TA150970,TA150978,TA150986,TA150994,TA150999,TA151007,TA151015,TA151023,ER34501,ER34502,ER34503,TA170001,TA170058,TA170059,TA170183,TA170389,TA170416,TA170790,TA170866,TA170909,TA170912,TA170913,TA171295,TA171827,TA171835,TA171840,TA171853,TA171861,TA171869,TA171877,TA171885
1,,,1,,,,,4,37,1288,3,30,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,8582,3,30,3,1,97,1,5,0,0,0,0,0,0,0,998,0,0,0,0,0,0,0,2845,51,30,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
2,,,1,1,,,,4,38,6880,2,30,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,8180,1,10,3,2,2,1,5,0,5,5,0,0,0,0,2,0,0,0,0,0,0,0,7655,1,10,2,2,2,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8569,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,8691,2,20,,,,,,,,,,,,,,,,,,,,
5,,,1,1,1,1,1,4,39,289,3,60,,,,,,,,,,,,,,,,,,,,,148,3,60,,,,,,,,,,,,,,,,,,,,,13,3,60,3,2,2,1,5,0,5,5,3,0,0,0,0,0,0,0,0,0,0,0,1602,2,20,2,2,96,5,5,0,5,5,7,0,0,0,0,0,0,0,0,0,0,0,8698,2,20,2,6,96,6,5,8,5,0,1,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,7304,2,20,2,9,96,5,5,8,5,0,3,0,0,0,0,0,0,0,0,0,0,0,7682,1,10,2,2,96,1,5,0,5,0,5,5,5,1,3,0,0,0,0,0,0,0
4,,,,1,1,1,1,4,41,1157,3,30,,,,,,,,,,,,,,,,,,,,,196,3,30,,,,,,,,,,,,,,,,,,,,,684,3,30,,,,,,,,,,,,,,,,,,,,,2147,1,10,2,97,96,5,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5963,2,20,2,2,96,6,5,97,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1032,2,60,2,99,98,1,1,0,0,0,3,1,0,0,40,0,0,0,0,0,0,0,6393,1,10,2,9,2,6,5,0,5,3,1,5,5,1,4,0,0,0,0,0,0,0
4,1,1,1,1,,,,4,180,771,2,22,5,2,97,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1130,1,10,4,1,6,1,5,99,0,0,0,0,0,0,24,0,0,0,0,0,0,0,77,1,10,3,7,97,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1839,2,20,2,2,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2176,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,3252,2,20,,,,,,,,,,,,,,,,,,,,,4293,2,20,,,,,,,,,,,,,,,,,,,,
4,1,1,1,1,,,,5,32,624,3,30,5,1,2,1,1,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,8069,2,20,4,5,6,6,5,99,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3976,2,20,3,6,96,6,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8389,2,20,2,6,96,6,5,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,5048,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
2,,,,,,1,1,5,33,1504,3,30,,,,,,,,,,,,,,,,,,,,,7756,3,30,,,,,,,,,,,,,,,,,,,,,8470,3,30,,,,,,,,,,,,,,,,,,,,,975,3,30,,,,,,,,,,,,,,,,,,,,,6170,71,30,,,,,,,,,,,,,,,,,,,,,,,,,,,7098,1,10,2,1,96,3,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4162,1,10,2,1,96,1,5,0,5,0,0,0,0,5,2,0,0,0,0,0,0,0
4,1,1,1,1,,,,6,34,1202,51,30,5,4,97,7,5,6,1,5,0,0,0,0,30,0,0,0,0,0,0,0,5967,1,10,4,6,96,1,5,99,1,5,0,0,0,0,15,0,0,0,0,0,0,0,858,1,10,3,6,6,7,5,0,1,5,0,0,0,0,12,0,0,0,0,0,0,0,7106,1,10,2,9,2,1,5,0,5,0,0,0,0,0,12,0,0,0,0,0,0,0,3221,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,2679,1,10,,,,,,,,,,,,,,,,,,,,,5702,1,10,,,,,,,,,,,,,,,,,,,,
4,,1,1,1,1,,,7,39,571,2,30,,,,,,,,,,,,,,,,,,,,,1154,3,30,4,1,1,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6730,1,10,3,7,96,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,10,2,1,96,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6276,1,10,2,6,96,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5421,1,10,,,,,,,,,,,,,,,,,,,,,5069,1,10,,,,,,,,,,,,,,,,,,,,
6,,1,1,1,1,1,1,7,40,571,3,30,,,,,,,,,,,,,,,,,,,,,482,2,30,4,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3836,2,22,3,6,96,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,2,22,2,2,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4127,2,22,2,6,96,6,5,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3786,2,20,2,5,96,6,5,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4690,2,20,2,6,6,6,5,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0
3,,,1,1,,1,,7,41,562,2,30,,,,,,,,,,,,,,,,,,,,,1411,2,30,,,,,,,,,,,,,,,,,,,,,576,2,30,3,7,96,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,3,30,2,1,96,1,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2820,2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2,60,2,97,96,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4360,2,60,,,,,,,,,,,,,,,,,,,,
1,,,,,,,1,7,42,571,4,30,,,,,,,,,,,,,,,,,,,,,482,3,30,,,,,,,,,,,,,,,,,,,,,290,2,30,,,,,,,,,,,,,,,,,,,,,183,2,30,,,,,,,,,,,,,,,,,,,,,6202,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,6262,1,10,,,,,,,,,,,,,,,,,,,,,4139,1,10,2,2,2,1,5,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0
