****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 294150 ******* 

Variable    Labels

TAS        Sum of All TAS Flags                    
TAS05      TAS2005 = 1 if exists, else missing     
TAS07      TAS2007 = 1 if exists, else missing     
TAS09      TAS2009 = 1 if exists, else missing     
TAS11      TAS2011 = 1 if exists, else missing     
TAS13      TAS2013 = 1 if exists, else missing     
TAS15      TAS2015 = 1 if exists, else missing     
TAS17      TAS2017 = 1 if exists, else missing     
ER30001    1968 INTERVIEW NUMBER                   
ER30002    PERSON NUMBER                         68
ER33801    2005 INTERVIEW NUMBER                   
ER33802    SEQUENCE NUMBER                       05
ER33803    RELATION TO HEAD                      05
TA050001   RELEASE NUMBER                          
TA050015   A1 WTR INVOLVED IN ARTS                 
TA050016   A2 TYPE OF ARTS                         
TA050017   A3 HOW OFTEN PARTICIPATED IN ARTS       
TA050018   A4 WTR MEMBER OF SPORTS TEAM            
TA050019   A5 HOW OFTEN PARTICIPATD IN SPORTS      
TA050020   A6 HOW OFTEN WATCHED OR READ NEWS       
TA050021   A7 HOW OFTEN READ FOR PLEASURE          
TA050022   A8 HOW OFTEN WATCH NON-NEWS TV          
TA050023   A9 WTR EVER USED INTERNET               
TA050024   A10A WTR USED INTERNET FOR EMAIL        
TA050025   A10B WTR USED INTERNET FOR SCHOOL       
TA050026   A10C WTR USED INTERNET TO SHOP          
TA050027   A10D WTR USED INTERNET FOR GAMES        
TA050028   A11 WTR VOTED IN 2004                   
TA050029   A11B WTR IN SOCIAL ACTION GROUPS        
TA050030   A11C TYPE OF SOCIAL ACTION GROUPS       
TA050031   A11D HOW OFTEN DID SOCIAL ACTION GROUPS 
TA050032   A12 WTR INVOLVED WITH SCHOOL CLUBS      
TA050033   A12B HOW OFTEN DID SCHOOL CLUBS         
TA050034   A13 WTR DID OTR VOLUNTEER WORK          
TA050035   A14 TYPE VOLUNTEER ORG-MENTION 1        
TA050036   A14 TYPE VOLUNTEER ORG-MENTION 2        
TA050037   A14 TYPE VOLUNTEER ORG-MENTION 3        
TA050038   A14 TYPE VOLUNTEER ORG-MENTION 4        
TA050039   A14 TYPE VOLUNTEER ORG-MENTION 5        
TA050040   A14 TYPE VOLUNTEER ORG-MENTION 6        
TA050041   A14B HOW OFTEN VOLUNTEERED              
TA050042   B1 FALL/WINTER PRIMARY RESIDENCE        
TA050043   B2 SUMMER PRIMARY RESIDENCE             
TA050044   B5A HOW MUCH RESONSIBLTY EARNG OWN LIVNG
TA050045   B5B HOW MUCH RESPONSIBLTY PAYNG OWN RENT
TA050046   B5C HOW MUCH RESPONSBLTY FOR OWN BILLS  
TA050047   B5D HOW MUCH RESPONSIBLTY MANAGING MONEY
TA050048   B6A HOW GOOD AT RESPONSIBILITY          
TA050049   B6B HOW GOOD AT PROBLEM SOLVING         
TA050050   B6C HOW GOOD AT MONEY MANAGEMENT        
TA050051   B6D HOW GOOD AT CREDIT CARD PAYOFF      
TA050052   C1A HOW GOOD AT SUPERVISING COMP        
TA050053   C1B HOW GOOD AT LEADING COMP W/OTRS     
TA050054   C1C HOW GOOD AT LOGIC COMP W/OTRS       
TA050055   C1D HOW GOOD AT HELPING COMP W/OTRS     
TA050056   C1E HOW INTELLIGENT COMPARED W/OTRS     
TA050057   C1F HOW INDEPENDENT COMPARED W/OTRS     
TA050058   C1G HOW CONFIDENT COMPARED W/OTHERS     
TA050059   C1H HOW DECISIVE COMPARED W/OTHERS      
TA050060   C1J HOW WELL LISTEN COMPARED W/OTHERS   
TA050061   C1K HOW GOOD AT TEACHING COMPARED W/OTRS
TA050069   D1 CURRENT MARITAL STATUS               
TA050078   D8 WTR ROMANTIC RELATIONSHIP NOW        
TA050091   D28A NUMBER OF CHILDREN                 
TA050127   E1 EMPLOYMENT STATUS 1ST MENTION        
TA050131   E3A WTR WORKD SINCE JAN 1 OF PRIOR YEAR 
TA050368   E62 WTR EVER WORKED                     
TA050394   E70 WHY NOT LOOKNG FOR WRK IN LAST 4 WKS
TA050573   G1 WTR GRADUATED HIGH SCHOOL            
TA050594   G10 WTR EVER ATTENDED COLLEGE           
TA050595   G11 WTR IN COLLEGE NOW                  
TA050631   G20 WTR CURRENTLY IN VO/TECH TRAINING   
TA050678   H3 HOW MUCH CONDITION LIMITS AMT OF WORK
TA050708   H12 WTR EVER HAD EMOTIONAL/PSYCH PROBS  
TA050710   H12B WTR DEPRESSION                     
TA050711   H12B WTR BIPOLAR DISORDER               
TA050712   H12B WTR SCHIZOPHRENIA                  
TA050713   H12B WTR ANXIETY                        
TA050714   H12B WTR PHOBIAS                        
TA050715   H12B WTR ALCOHOL PROBLEMS               
TA050716   H12B WTR OTHER DRUG PROBLEMS            
TA050717   H12B WTR OBSESSIVE COMPULSIVE DISORDER  
TA050723   H13B HOW MUCH LIMITS NORMAL ACTIVITIES  
TA050733   H15 WTR>2 WKS DEPRESSED IN PAST 12 MOS  
TA050734   H16 WTR>2 WKS NO INTEREST IN LIFE       
TA050754   H27 # OF HOURS OF SLEEP IN 24-HR PERIOD 
TA050755   H28A FREQ OF SNACK INSTEAD OF REGLR MEAL
TA050756   H28B FREQUENCY OF BINGE EATING          
TA050759   H30 # CIGARETTES PER DAY                
TA050767   H37 HOW OFTEN HAVE DRINKS-HD            
TA050768   H38 # ALCOHOLIC DRINKS PER DAY-HD       
TA050769   H39 # DAYS HAD 4-5 DRINKS-HEAD          
TA050776   H44A # OF TIMES TOOK W/O DOC IN 12 MOS  
TA050777   H45A # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA050784   H44B # OF TIMES TOOK W/O DOC IN 12 MOS  
TA050785   H45B # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA050792   H44C # OF TIMES TOOK W/O DOC IN 12 MOS  
TA050793   H45C # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA050797   H42D_B # OF OCCASIONS IN PAST 12 MOS    
TA050798   H42D_C # OF OCCASIONS IN PAST 30 DAYS   
TA050808   H44E # OF TIMES TOOK W/O DOC IN 12 MOS  
TA050809   H45E # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA050816   H44F # OF TIMES TOOK W/O DOC IN 12 MOS  
TA050817   H45F # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA050824   H44G # OF TIMES TOOK W/O DOC IN 12 MOS  
TA050825   H45G # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA050883   L6 HISPANICITY                          
TA050884   L7 RACE MENTION #1                      
TA050888   M1 FREQUENCY OF HAPPINESS IN LAST MONTH 
TA050889   M2 FREQ OF INTEREST IN LIFE IN LAST MO  
TA050890   M3 FREQ OF FEELING SATISFIED IN LAST MO 
TA050891   M4 FREQ OF FEELING CONTRIB TO SOCIETY   
TA050892   M5 FREQ OF FEELING BELONGING TO COMMUNTY
TA050893   M6 FREQ OF FEELING SOCIETY GETTNG BETTER
TA050894   M7 FREQ OF FEELING PEOPLE BASICALLY GOOD
TA050895   M8 FREQ FEELNG WAY SOC WORKS MAKES SENSE
TA050896   M9 FREQ FEEL MANAGNG DAILY RESPONSIBILTY
TA050897   M10 FREQ FEELING TRUSTING RELS W/OTHERS 
TA050898   M11 FREQ OF FEELING CHALLENGED TO GROW  
TA050899   M12 FREQ FEELING CONFIDENT OF OWN IDEAS 
TA050900   M13 FREQ OF FEELING LIKED PERSONALITY   
TA050901   M14 FREQ OF FEELING LIFE HAD DIRECTION  
TA050932   MENTAL HEALTH:  WORRY                   
TA050933   MENTAL HEALTH:  SOCIAL ANXIETY          
TA050935   SUBSCALE:  EMOTIONAL WB                 
TA050937   SUBSCALE:  PSYCHOLOGICAL WB             
TA050938   MENTAL HEALTH:  NON-SPEC PSYCH DISTRESS 
TA050944   BODY MASS INDEX                         
TA050946   ENROLLMENT STATUS                       
ER33901    2007 INTERVIEW NUMBER                   
ER33902    SEQUENCE NUMBER                       07
ER33903    RELATION TO HEAD                      07
TA070001   RELEASE NUMBER                          
TA070015   A1 WTR INVOLVED IN ARTS                 
TA070016   A2 TYPE OF ARTS                         
TA070017   A3 HOW OFTEN PARTICIPATED IN ARTS       
TA070018   A4 WTR MEMBER OF SPORTS TEAM            
TA070019   A5 HOW OFTEN PARTICIPATD IN SPORTS      
TA070020   A6 HOW OFTEN WATCHED OR READ NEWS       
TA070021   A7 HOW OFTEN READ FOR PLEASURE          
TA070022   A8 HOW OFTEN WATCH NON-NEWS TV          
TA070023   A9 WTR EVER USED INTERNET               
TA070024   A10A WTR USED INTERNET FOR EMAIL        
TA070025   A10B WTR USED INTERNET FOR SCHOOL       
TA070026   A10C WTR USED INTERNET TO SHOP          
TA070027   A10D WTR USED INTERNET FOR GAMES        
TA070028   A11 WTR VOTED IN 2006                   
TA070029   A11B WTR IN SOCIAL ACTION GROUPS        
TA070030   A11C TYPE OF SOCIAL ACTION GROUPS       
TA070031   A11D HOW OFTEN DID SOCIAL ACTION GROUPS 
TA070032   A12 WTR INVOLVED WITH SCHOOL CLUBS      
TA070033   A12B HOW OFTEN DID SCHOOL CLUBS         
TA070034   A13 WTR DID OTR VOLUNTEER WORK          
TA070035   A14 TYPE VOLUNTEER ORG-MENTION 1        
TA070036   A14 TYPE VOLUNTEER ORG-MENTION 2        
TA070037   A14 TYPE VOLUNTEER ORG-MENTION 3        
TA070038   A14 TYPE VOLUNTEER ORG-MENTION 4        
TA070039   A14 TYPE VOLUNTEER ORG-MENTION 5        
TA070040   A14 TYPE VOLUNTEER ORG-MENTION 6        
TA070041   A14B HOW OFTEN VOLUNTEERED              
TA070042   B1 FALL/WINTER PRIMARY RESIDENCE        
TA070043   B2 SUMMER PRIMARY RESIDENCE             
TA070044   B5A HOW MUCH RESONSIBLTY EARNG OWN LIVNG
TA070045   B5B HOW MUCH RESPONSIBLTY PAYNG OWN RENT
TA070046   B5C HOW MUCH RESPONSBLTY FOR OWN BILLS  
TA070047   B5D HOW MUCH RESPONSIBLTY MANAGING MONEY
TA070048   B6A HOW GOOD AT RESPONSIBILITY          
